Date/Time	no	ns	nt	t_factorize	flops_factorize	t_solve	flops_solve	t_inv	flops_inv
2021-09-21.17:14:28	142014	4002	12	2.82967114448547363	3206276256964.00000000000000000	0.51951503753662109	1473856576.00000000000000000	1.98347711563110352	6282181857188.00000000000000000
2021-09-21.17:14:32	59197	4002	5	1.23284411430358887	1186353624376.00000000000000000	0.16336202621459961	576736240.00000000000000000	0.75950384140014648	2468018328488.00000000000000000
2021-09-21.17:14:42	236680	4002	20	4.32325911521911621	5514759265636.00000000000000000	0.88061594963073730	2499136960.00000000000000000	3.42201519012451172	10641225889988.00000000000000000
2021-09-21.17:14:45	236680	642	20	0.33567690849304199	22820799076.00000000000000000	0.02053284645080566	64400320.00000000000000000	0.10179805755615234	43958217668.00000000000000000
2021-09-21.17:14:46	236680	362	20	0.26954293251037598	4100162596.00000000000000000	0.00677299499511719	20500800.00000000000000000	0.06499505043029785	7885237508.00000000000000000
2021-09-21.17:14:50	70981	4002	6	1.37964820861816406	1474914000460.00000000000000000	0.20528483390808105	704896288.00000000000000000	0.92339420318603516	3012898832588.00000000000000000
2021-09-21.17:14:52	236680	92	20	0.22080993652343750	68302276.00000000000000000	0.00047206878662109	1335120.00000000000000000	0.04816222190856934	129954068.00000000000000000
2021-09-21.17:14:58	118459	4002	10	2.27410101890563965	2629155504796.00000000000000000	0.45686817169189453	1217536480.00000000000000000	1.60833692550659180	5192420848988.00000000000000000
2021-09-21.17:15:03	106570	4002	9	2.02535104751586914	2340595128712.00000000000000000	0.38633680343627930	1089376432.00000000000000000	1.44893121719360352	4647540344888.00000000000000000
2021-09-21.17:15:05	236680	252	20	0.24145579338073730	1386205636.00000000000000000	0.00324010848999023	9946960.00000000000000000	0.05803322792053223	2661619988.00000000000000000
2021-09-21.17:15:13	165724	4002	14	3.11443114280700684	3783397009132.00000000000000000	0.60819888114929199	1730176672.00000000000000000	2.28575897216796875	7371942865388.00000000000000000
2021-09-21.17:15:19	130259	4002	11	2.44877409934997559	2917715880880.00000000000000000	0.45464015007019043	1345696528.00000000000000000	1.79306697845458984	5737301353088.00000000000000000
2021-09-21.17:15:27	177622	4002	15	3.31393003463745117	4071957385216.00000000000000000	0.64658308029174805	1858336720.00000000000000000	2.43311190605163574	7916823369488.00000000000000000
2021-09-21.17:15:30	236680	492	20	0.28510093688964844	10280052676.00000000000000000	0.01247000694274902	37840720.00000000000000000	0.07674884796142578	19789294868.00000000000000000
2021-09-21.17:15:31	23640	4002	2	0.49772191047668457	320672496124.00000000000000000	0.04709601402282715	192256096.00000000000000000	0.23950505256652832	833376816188.00000000000000000
2021-09-21.17:15:34	35542	4002	3	0.72060585021972656	609232872208.00000000000000000	0.07910013198852539	320416144.00000000000000000	0.38260602951049805	1378257320288.00000000000000000
2021-09-21.17:15:36	236680	1212	20	0.58127713203430176	153340320196.00000000000000000	0.06671500205993652	229349200.00000000000000000	0.24382209777832031	295657490708.00000000000000000
2021-09-21.17:15:38	236680	812	20	0.38938879966735840	46146297796.00000000000000000	0.03660821914672852	102987600.00000000000000000	0.12778687477111816	88927173908.00000000000000000
2021-09-21.17:15:40	236680	12	20	0.21832203865051270	172996.00000000000000000	0.00012207031250000	24400.00000000000000000	0.04596805572509766	300308.00000000000000000
2021-09-21.17:15:49	189444	4002	16	3.49558210372924805	4360517761300.00000000000000000	0.66682195663452148	1986496768.00000000000000000	2.68646907806396484	8461703873588.00000000000000000
2021-09-21.17:15:51	236680	42	20	0.21684193611145020	6653476.00000000000000000	0.00016283988952637	281920.00000000000000000	0.04585003852844238	12446468.00000000000000000
2021-09-21.17:15:53	236680	1002	20	0.47801303863525391	86673817636.00000000000000000	0.04845404624938965	156784960.00000000000000000	0.17044401168823242	167078473988.00000000000000000
2021-09-21.17:15:56	47399	4002	4	0.93147993087768555	897793248292.00000000000000000	0.11597704887390137	448576192.00000000000000000	0.57698416709899902	1923137824388.00000000000000000
2021-09-21.17:16:01	94753	4002	8	1.78777790069580078	2052034752628.00000000000000000	0.33511114120483398	961216384.00000000000000000	1.26677584648132324	4102659840788.00000000000000000
2021-09-21.17:16:10	213163	4002	18	3.95850610733032227	4937638513468.00000000000000000	0.80322217941284180	2242816864.00000000000000000	2.99917888641357422	9551464881788.00000000000000000
2021-09-21.17:16:12	236680	162	20	0.23046708106994629	369751396.00000000000000000	0.00155901908874512	4120000.00000000000000000	0.05684804916381836	707879108.00000000000000000
2021-09-21.17:16:19	153819	4002	13	2.94056510925292969	3494836633048.00000000000000000	0.54254102706909180	1602016624.00000000000000000	2.17411303520202637	6827062361288.00000000000000000
2021-09-21.17:16:30	224959	4002	19	4.18642902374267578	5226198889552.00000000000000000	0.85103487968444824	2370976912.00000000000000000	3.20056700706481934	10096345385888.00000000000000000
2021-09-21.17:16:35	82851	4002	7	1.58576488494873047	1763474376544.00000000000000000	0.25048303604125977	833056336.00000000000000000	1.17894315719604492	3557779336688.00000000000000000
2021-09-21.17:16:44	201368	4002	17	3.72795200347900391	4649078137384.00000000000000000	0.77477097511291504	2114656816.00000000000000000	2.83692502975463867	9006584377688.00000000000000000
2021-09-29.00:40:30	11790	1002	1	0.18601107597351074	503014024.00000000000000000	0.00089287757873535	4024048.00000000000000000	0.00823903083801270	4531078088.00000000000000000
2021-09-29.00:40:40	11790	1002	1	0.17634296417236328	503014024.00000000000000000	0.00083899497985840	4024048.00000000000000000	0.00820088386535645	4531078088.00000000000000000
2021-09-30.17:02:07	11790	1002	1	0.17912101745605469	335345356.00000000000000000	0.00082898139953613	4024048.00000000000000000	0.00824308395385742	4531078088.00000000000000000
2021-09-30.17:09:20	11790	1002	1	0.01244616508483887	335345356.00000000000000000	0.00080084800720215	4024048.00000000000000000	0.00602293014526367	4531078088.00000000000000000
